account_id,date,total
90,2016-07-15 16:21,814.68
46,2017-02-26 13:41,341.19
42,2016-11-08 21:27,581.74
35,2016-11-06 14:02,377.64
92,2017-01-13 03:48,449.45
16,2016-12-23 04:06,1107.04
41,2016-10-14 06:19,75.52
24,2016-12-26 11:02,102.08
14,2017-01-16 16:30,420.42
55,2016-08-04 15:34,1275.37
17,2016-08-28 18:07,1256.31
8,2017-02-08 00:54,196.8
40,2016-10-03 08:46,270.01
60,2016-08-15 15:36,384.56
58,2017-01-20 14:16,613.35
37,2017-01-07 21:37,1255.8
100,2017-02-08 01:40,404.16
97,2016-10-08 15:28,41.28
51,2016-07-16 13:33,292.16
99,2016-12-01 14:36,343.98
84,2016-09-04 11:42,71.37
27,2016-10-14 07:55,167.4
48,2017-01-18 12:16,403.92
17,2017-01-19 08:09,913.9
59,2016-10-22 05:08,240.94
44,2016-10-16 05:29,601.21
3,2017-03-04 01:13,36.16
2,2017-01-13 10:44,1128.96
86,2016-11-26 13:52,633.65
25,2016-10-24 18:19,1640.43
89,2016-07-18 18:45,316.2
92,2016-12-15 16:34,1179
90,2016-09-02 22:25,156.8
9,2016-11-15 02:14,1068.08
62,2017-02-21 08:00,135
30,2017-01-10 03:57,703.08
40,2016-07-20 23:17,126.48
66,2016-09-05 09:12,151.2
86,2016-10-18 19:22,119.55
37,2016-07-12 01:22,107.1
84,2017-02-27 20:06,124.02
9,2016-09-11 23:16,864.2
15,2016-11-07 06:10,416.01
49,2017-02-13 20:23,318.58
62,2017-01-19 06:25,974.61
67,2016-07-05 13:22,1518.72
70,2016-08-26 23:43,250.56
49,2017-01-08 11:48,1341.9
27,2017-01-31 12:03,43.7
43,2016-09-01 14:28,54.72
9,2016-10-31 07:16,741.51
91,2016-08-29 03:26,1003.29
90,2016-07-17 04:36,138.75
11,2016-10-30 19:17,1035
56,2017-02-28 09:25,1134.68
22,2016-07-31 18:37,7.66
16,2016-12-28 08:59,597.96
66,2016-10-09 03:54,1040
27,2016-12-29 05:31,175.36
89,2016-07-19 08:26,1148.7
24,2017-03-08 16:55,609.55
10,2016-10-18 18:06,245
31,2016-09-21 16:03,97.37
14,2016-10-04 18:52,65.04
44,2016-10-18 11:07,988.59
51,2017-01-30 03:07,238.98
64,2016-09-30 20:53,114.03
33,2016-08-22 10:08,347.2
73,2016-10-05 23:45,1146.83
52,2016-08-31 10:13,862.6
23,2016-12-20 17:16,264.87
30,2017-01-30 17:44,54.96
32,2016-08-16 05:11,283.5
39,2016-11-08 23:09,128.37
16,2016-12-29 13:24,905.02
49,2016-07-25 00:05,1270.19
41,2016-11-03 01:18,995.8
57,2016-10-25 23:43,40.02
43,2016-09-28 01:10,40.56
55,2016-10-12 09:04,235.3
71,2016-12-03 21:35,700.04
91,2017-02-25 00:29,52.82
54,2017-03-04 00:20,225.06
63,2016-08-01 03:35,1489
7,2016-08-16 20:45,564.8
50,2016-10-11 05:04,684.9
37,2016-08-29 12:46,1496.64
66,2017-01-12 07:16,811.53
49,2016-08-12 14:17,321.44
83,2016-12-12 20:48,113.98
23,2016-08-06 14:30,331.2
61,2016-11-05 05:22,787.05
79,2016-09-06 04:47,25.32
81,2016-08-10 21:12,1945.35
2,2016-09-09 21:36,973.71
89,2017-02-22 11:05,1757.5
16,2016-09-30 16:17,38.2
90,2017-01-01 12:46,738
94,2016-12-07 11:48,306.46
95,2016-09-20 04:55,736.26
86,2016-09-05 12:17,1367.93
5,2016-09-12 22:32,105.56
49,2016-11-17 01:25,510.04
20,2017-02-04 11:23,431.05
17,2016-09-24 10:13,112.77
56,2016-09-12 11:23,88.96
33,2017-01-16 08:37,583.2
2,2017-01-18 05:17,1159.68
8,2016-10-06 22:59,839.52
92,2017-03-09 22:45,98.14
55,2017-02-16 14:10,34.56
10,2016-09-28 03:03,1439.76
100,2017-01-18 21:52,16.45
88,2017-01-30 19:46,332.64
76,2016-11-04 06:00,714.66
60,2016-07-09 12:46,91.8
26,2017-02-21 07:19,243.81
31,2016-11-23 08:33,37
80,2016-08-27 06:52,111.87
81,2017-01-03 03:29,235.2
50,2016-09-21 07:04,1504.17
67,2016-12-10 11:32,907.98
29,2016-10-20 11:45,91.14
94,2017-01-11 16:02,571.14
9,2017-02-25 11:43,84.5
50,2017-01-29 13:48,275.79
49,2016-08-21 12:39,115.84
56,2016-11-13 17:43,685.02
50,2016-08-29 08:14,890.82
50,2016-08-01 19:12,735.24
6,2017-01-17 14:43,212.1
56,2016-12-01 11:41,60.3
48,2017-02-20 00:00,777.12
95,2016-08-12 05:34,1128.8
37,2016-08-30 05:13,133.29
95,2016-12-07 11:36,803.6
28,2016-12-16 01:35,1113.45
24,2016-08-19 22:11,975
34,2016-11-20 04:50,1282.68
54,2016-09-09 22:49,1263
61,2016-10-27 03:01,270.6
100,2016-09-29 13:00,705.1
10,2016-07-30 08:36,537.38
39,2016-12-05 11:23,122.56
74,2016-10-28 16:55,135.24
71,2016-09-09 21:01,888.26
33,2016-08-18 11:40,104.96
85,2016-08-30 13:28,413.54
13,2016-12-12 22:50,402.9
88,2017-01-04 06:59,65
60,2017-02-18 04:53,175.4
33,2017-03-05 06:29,251.72
44,2016-08-29 11:50,760.65
71,2017-03-11 18:54,340.45
76,2017-02-25 04:38,439.25
90,2016-09-03 09:36,359
96,2016-07-09 18:18,28.96
93,2017-02-12 06:29,670.22
6,2017-02-25 12:40,147.6
7,2017-02-23 21:24,637.26
22,2016-08-08 07:52,1101.76
53,2016-11-23 08:57,443.1
92,2017-02-02 11:26,150.81
18,2016-08-30 18:51,439.56
9,2016-09-26 15:44,301.56
30,2016-12-30 13:11,29.52
3,2016-11-09 11:06,126.09
68,2017-01-06 21:21,655.18
91,2016-07-25 12:46,527.1
39,2016-11-20 17:51,591.92
18,2016-12-14 04:36,486.78
6,2017-01-19 20:31,413.18
74,2017-02-27 07:12,984.18
29,2016-12-24 23:44,772.8
39,2017-03-13 08:15,671.14
51,2016-08-30 04:03,406.98
40,2016-11-06 12:30,918.81
64,2016-07-10 15:44,108.15
88,2016-12-01 08:51,133.92
57,2017-01-19 17:21,548.12
13,2017-02-19 03:59,312.63
65,2016-11-17 19:43,1112.03
44,2016-08-02 18:03,16.84
28,2016-10-06 09:41,322.96
72,2017-02-10 08:16,451.44
78,2017-01-19 07:30,497.06
52,2016-07-15 11:40,1333.78
75,2016-07-12 17:50,294.12
46,2016-09-01 23:48,477.12
16,2016-09-05 10:43,250.08
31,2016-10-03 07:22,348.94
88,2016-11-05 07:32,1111.5
11,2016-12-17 11:23,528.84
74,2016-07-31 03:06,679.38
56,2016-07-05 15:46,535.59
19,2016-09-13 00:00,184.92
70,2016-12-08 14:13,497.97
5,2017-03-05 11:46,844.24
26,2016-08-07 17:17,93.24
93,2016-07-25 06:49,181.92
73,2017-01-01 18:55,182.13
95,2016-11-29 17:05,361.88
83,2016-08-01 15:23,270.72
98,2016-11-28 12:52,1185.66
